BB354_WHITEAPRICOT_ML,Medium/Large,WhiteApricot,10
BB354_WHITENAVY_XSS,ExtraSmal/Small,WhiteNavy,10
BB354_WHITENAVY_ML,Medium/Large,WhiteNavy,10
TR408_GREY_XS,ExtraSmall,AthleticGrey,11
TR408_GREY_S,Small,AthleticGrey,11
TR408_GREY_M,Medium,AthleticGrey,11
TR408_GREY_L,Large,AthleticGrey,11
TR408_GREY_XL,ExtraLarge,AthleticGrey,11
TR408_CRANB_XS,ExtraSmall,Cranberry,11
TR408_CRANB_S,Small,Cranberry,11
TR408_CRANB_M,Medium,Cranberry,11
TR408_CRANB_L,Large,Cranberry,11
TR408_CRANB_XL,ExtraLarge,Cranberry,11
TR408_BLACK_XS,ExtraSmall,Black,11
TR408_BLACK_S,Small,Black,11
TR408_BLACK_M,Medium,Black,11
TR408_BLACK_L,Large,Black,11
TR408_BLACK_XL,ExtraLarge,Black,11
RSA2419_TRUFFLE_S,Small,Truffle,10
RSA2419_TRUFFLE_M,Medium,Truffle,10
RSA2419_TRUFFLE_L,Large,Truffle,10
RSA2419_TRUFFLE_XL,ExtraLarge,Truffle,10
TR408_INDIGO_XS,ExtraSmall,Indigo,11
TR408_INDIGO_S,Small,Indigo,11
TR408_INDIGO_M,Medium,Indigo,11
TR408_INDIGO_L,Large,Indigo,11
TR408_INDIGO_XL,ExtraLarge,Indigo,11
BB381_NEONPINK_TU,OneSize,NeonPink,11
BB381_NEONGREEN_TU,OneSize,NeonGreen,11
BB401_BLACK_S,Small,Black,10
BB401_BLACK_M,Medium,Black,10
BB401_BLACK_L,Large,Black,10
BB401_BLACK_XL,ExtraLarge,Black,10
BB401_WHITE_XS,ExtraSmall,White,10
BB401_WHITE_S,Small,White,10
BB401_WHITE_M,Medium,White,10
BB401_WHITE_L,Large,White,10
BB401_WHITE_XL,ExtraLarge,White,10
STANACT_WHITE_XL,ExtraLarge,White,10
STANACT_WHITE_L,Large,White,10
STANACT_WHITE_M,Medium,White,10
STANACT_WHITE_S,Small,White,10
GI18000_BLACK_XL,ExtraLarge,Black,1
